course_code,prereq_code
BSC 2011C,BSC 2010C
CAP 4630,COP 3530
CAP 4770,CAP 4630
CAP 4770,COP 3530
CDA 3100,COP 2220
CDA 4205,CDA 3100
CDA 4205,COP 3404
CEN 4010,COP 3530
CEN 4010,COP 3703
CEN 4072,CEN 4010
CHM 2046C,CHM 2045C
CIS 3253,COP 2220
CIS 4360,COP 3530
CNT 4504,COP 3503
CNT 4713,CNT 4504
COP 3404,CDA 3100
COP 3404,COP 3503
COP 3503,COP 2220
COP 3530,COP 3503
COP 3530,COT 3100
COP 3703,COP 3503
COP 4331,COP 3530
COP 4610,COP 3404
COP 4610,COP 3530
COP 4620,COP 3530
COP 4620,COT 3210
COT 3100,MAC 1147
COT 3210,COT 3100
COT 4400,COP 3530
MAC 2311,MAC 1147
MAC 2312,MAC 2311
MAS 3105,MAC 2312
PHY 2048C,MAC 2311
PHY 2049,MAC 2312
PHY 2049,PHY 2048C
SPC 3710,SPC 1608
STA 3032,MAC 2312
